init_id,sd,part_number,title,sbt_price,cost,has_stock,stock_eta,description,applications
16-305K,SD19519,,,,,False,,,
20-102 (NO CORE),SD00011065,,,,,False,,,
62-304-1,SD78207,,,,,False,,,
62-402S-1,SD3460,,,,,False,,,
85-806,SD11858,,,,,False,,,
85-810,SD12947,,,,,False,,,
85-819,SD12953,,,,,False,,,
111WS002,SD9975,,,,,False,,,
40-414,SD53816,,,,,False,,,
40-414,SD53817,,,,,False,,,
46-112-90,SD00002776,,,,,False,,,
62-203-2,SD31844,,,,,False,,,
62-303-1,SD78201,,,,,False,,,
62-306-1,SD33372,,,,,False,,,
85-802,SD11846,,,,,False,,,
85-805,SD11852,,,,,False,,,
85-807,SD12941,,,,,False,,,
85-809,SD12945,,,,,False,,,
85-820,SD12954,,,,,False,,,
